SNIN_REFERENCE,PLOT_NO,INSPECTION_DATE,INSP_GROUP
05000002,21,2020-10-14,Handover
05000002,22,2021-02-17,Handover
05000002,23,2020-10-14,Handover
05000002,24,2020-10-14,Handover
05000002,25,2021-01-20,Handover
05000002,26,2020-10-14,Handover
05000002,27,2021-02-03,Handover
05000002,28,2020-12-02,Handover
05000002,29,2020-10-14,Handover
05000002,30,2020-10-14,Handover
05000002,31,2020-10-14,Handover
05000002,32,2020-10-14,Handover
05000002,33,2020-10-14,Handover
05000002,34,2020-10-14,Handover
05000002,35,2020-10-21,Handover
05000002,36,2021-01-06,Handover
05000002,37,2020-10-14,Handover
05000002,38,2020-10-14,Handover
05000002,39,2020-12-09,Handover
05000002,40,2020-10-14,Handover
05000002,41,2020-12-30,Handover
05000002,42,2020-10-14,Handover
05000002,43,2020-10-21,Handover
05000002,44,2021-03-03,Handover
05000002,45,2020-10-14,Handover
05000002,46,2020-12-30,Handover
05000002,47,2020-10-14,Handover
05000002,48,2020-10-14,Handover
05000002,49,2021-01-06,Handover
05000002,50,2020-10-14,Handover
05000002,51,2020-10-14,Handover
05000002,52,2020-10-21,Handover
05000002,53,2020-10-21,Handover
05000002,54,2020-10-14,Handover
05000002,55,2021-03-10,Handover
05000002,56,2020-12-16,Handover
05000002,57,2020-11-18,Handover
05000002,58,2021-02-10,Handover
05000002,59,2021-01-13,Handover
05000002,60,2020-10-21,Handover
05000002,61,2020-10-14,Handover
05000002,62,2020-10-28,Handover
05000002,63,2021-02-03,Handover
05000002,64,2020-10-14,Handover
05000002,65,2020-10-14,Handover
05000002,66,2020-12-16,Handover
05000002,67,2020-10-14,Handover
05000002,68,2020-10-21,Handover
05000002,69,2020-10-14,Handover
05000002,70,2020-11-11,Handover
05000002,71,2020-10-14,Handover
05000002,72,2021-03-10,Handover
05000002,73,2021-01-06,Handover
05000002,74,2020-10-14,Handover
05000002,75,2020-11-04,Handover
05000002,76,2020-10-14,Handover
05000002,77,2021-01-06,Handover
05000002,78,2021-03-10,Handover
05000002,79,2020-12-23,Handover
05000002,80,2020-10-14,Handover
05000002,81,2020-12-16,Handover
05000002,82,2020-12-30,Handover
05000002,83,2020-10-14,Handover
05000002,84,2020-12-23,Handover
05000002,85,2020-11-25,Handover
05000002,86,2020-10-14,Handover
05000002,87,2020-11-04,Handover
05000002,88,2020-12-16,Handover
05000002,89,2020-10-14,Handover
05000002,90,2021-01-20,Handover
05000002,91,2020-11-11,Handover
05000002,92,2021-03-17,Handover
05000002,93,2020-10-14,Handover
05000002,94,2020-11-25,Handover
05000002,95,2020-10-14,Handover
05000002,96,2021-03-10,Handover
05000002,97,2020-10-14,Handover
05000002,98,2020-11-04,Handover
05000002,99,2021-01-27,Handover
05000002,100,2020-10-14,Handover
05000002,101,2020-10-14,Handover
05000002,102,2021-03-17,Handover
05000002,103,2020-12-30,Handover
05000002,104,2020-11-11,Handover
05000002,105,2020-10-14,Handover
05000002,106,2020-10-14,Handover
05000002,107,2020-10-28,Handover
05000002,108,2020-10-14,Handover
05000002,109,2021-01-20,Handover
05000002,110,2020-10-14,Handover
05000002,111,2021-01-13,Handover
05000003,1,2020-10-21,Handover
05000003,2,2020-10-28,Handover
05000003,3,2020-10-21,Handover
05000003,4,2020-10-21,Handover
05000003,5,2021-03-17,Handover
05000003,6,2021-02-17,Handover
05000003,7,2020-10-21,Handover
05000003,8,2021-01-27,Handover
05000003,9,2020-11-18,Handover
05000003,10,2021-04-07,Handover
05000003,11,2020-10-21,Handover
05000003,12,2021-01-06,Handover
05000003,13,2020-10-21,Handover
05000003,14,2020-10-21,Handover
05000003,15,2021-01-27,Handover
05000003,16,2021-02-17,Handover
05000003,17,2020-10-21,Handover
05000003,18,2021-04-07,Handover
05000003,19,2020-11-25,Handover
05000003,20,2020-10-21,Handover
05000003,21,2020-10-21,Handover
05000003,22,2020-10-21,Handover
05000003,23,2020-10-21,Handover
05000003,24,2021-01-20,Handover
05000003,25,2020-10-21,Handover
05000003,26,2020-10-21,Handover
05000003,27,2020-11-18,Handover
05000003,28,2020-10-21,Handover
05000003,29,2021-04-28,Handover
05000003,30,2020-12-23,Handover
05000003,31,2020-10-21,Handover
05000003,32,2020-10-21,Handover
05000003,33,2020-10-21,Handover
05000003,34,2020-10-21,Handover
05000003,35,2020-12-16,Handover
05000003,36,2020-10-21,Handover
05000003,37,2020-12-09,Handover
05000003,38,2021-01-27,Handover
05000003,39,2020-10-21,Handover
05000003,40,2020-10-21,Handover
05000003,41,2020-10-21,Handover
05000003,42,2021-03-03,Handover
05000003,43,2020-10-21,Handover
05000003,44,2021-03-10,Handover
05000003,45,2021-04-14,Handover
05000003,46,2020-10-21,Handover
05000003,47,2020-10-21,Handover
05000003,48,2020-12-16,Handover
05000003,49,2020-10-21,Handover
05000003,50,2020-10-21,Handover
05000003,51,2020-10-21,Handover
05000003,52,2020-10-21,Handover
05000004,1,2020-09-16,Handover
05000004,2,2020-09-16,Handover
05000004,3,2021-04-14,Handover
05000004,4,2020-09-16,Handover
05000004,5,2021-01-20,Handover
05000004,6,2020-09-16,Handover
05000004,7,2020-10-07,Handover
05000004,8,2021-06-09,Handover
05000004,9,2020-11-04,Handover
05000004,10,2020-10-07,Handover
05000004,11,2020-09-16,Handover
05000004,12,2020-09-16,Handover
05000004,13,2020-09-16,Handover
05000004,14,2021-02-24,Handover
05000004,15,2020-09-16,Handover
05000004,16,2020-10-14,Handover
05000004,17,2021-02-24,Handover
05000004,18,2021-01-20,Handover
05000004,19,2021-04-21,Handover
05000004,20,2020-09-16,Handover
05000004,21,2021-02-03,Handover
05000004,22,2020-09-16,Handover
05000004,23,2020-11-25,Handover
05000004,24,2020-09-16,Handover
05000004,25,2020-12-02,Handover
05000004,26,2021-04-28,Handover
05000004,27,2020-09-16,Handover
05000004,28,2021-04-07,Handover
05000004,29,2020-12-02,Handover
05000004,30,2021-04-14,Handover
05000004,31,2020-12-30,Handover
05000004,32,2020-09-30,Handover
05000004,33,2020-09-16,Handover
05000004,34,2020-09-16,Handover
05000004,35,2020-12-09,Handover
05000004,36,2021-03-31,Handover
05000004,37,2021-02-17,Handover
05000004,38,2021-03-31,Handover
05000004,39,2020-12-23,Handover
05000004,40,2020-12-02,Handover
05000004,41,2020-12-02,Handover
05000004,42,2020-12-09,Handover
05000004,43,2020-11-18,Handover
05000004,44,2020-09-16,Handover
05000004,45,2021-01-06,Handover
05000004,46,2020-12-30,Handover
05000004,47,2020-09-16,Handover
05000004,48,2020-09-16,Handover
05000004,49,2020-09-16,Handover
05000004,50,2021-01-13,Handover
05000004,51,2020-12-16,Handover
05000004,52,2021-03-31,Handover
05000004,53,2021-02-17,Handover
05000004,54,2020-11-25,Handover
05000004,55,2020-09-16,Handover
05000004,56,2020-11-25,Handover
05000004,57,2020-09-16,Handover
05000004,58,2020-09-16,Handover
05000004,59,2020-09-16,Handover
05000004,60,2021-03-31,Handover
05000004,61,2021-03-10,Handover
05000004,62,2021-02-10,Handover
05000004,63,2020-09-16,Handover
05000004,64,2020-12-16,Handover
05000004,65,2020-10-14,Handover
05000004,66,2020-09-16,Handover
05000004,67,2020-12-30,Handover
05000004,68,2021-03-03,Handover
05000004,69,2021-03-24,Handover
05000004,70,2020-09-16,Handover
05000004,71,2020-11-11,Handover
05000004,72,2020-12-09,Handover
05000004,73,2020-11-18,Handover
05000004,74,2020-09-16,Handover
05000004,75,2020-12-30,Handover
05000004,76,2020-09-23,Handover
05000004,77,2020-10-14,Handover
05000004,78,2020-09-16,Handover
05000004,79,2021-02-10,Handover
05000004,80,2021-04-07,Handover
05000004,81,2020-09-16,Handover
05000004,82,2020-09-16,Handover
05000004,83,2020-09-16,Handover
05000004,84,2020-09-16,Handover
05000004,85,2020-09-16,Handover
05000004,86,2020-12-02,Handover
05000004,87,2020-09-16,Handover
05000004,88,2020-09-16,Handover
05000004,89,2020-11-25,Handover
05000004,90,2021-02-24,Handover
05000004,91,2020-09-16,Handover
05000004,92,2021-04-21,Handover
05000004,93,2020-11-18,Handover
05000004,94,2020-10-28,Handover
05000004,95,2020-09-16,Handover
05000004,96,2021-01-20,Handover
05000004,97,2021-01-06,Handover
05000004,98,2021-02-10,Handover
05000005,1,2020-08-05,Handover
05000005,2,2020-09-16,Handover
05000005,3,2021-01-06,Handover
05000005,4,2020-12-16,Handover
05000005,5,2020-10-07,Handover
05000005,6,2021-05-19,Handover
05000005,7,2021-01-13,Handover
05000005,8,2020-08-05,Handover
05000005,9,2021-01-27,Handover
05000005,10,2020-08-12,Handover
05000005,11,2021-03-24,Handover
05000005,12,2020-10-14,Handover
05000005,13,2020-11-25,Handover
05000005,14,2020-12-09,Handover
05000005,15,2020-09-02,Handover
05000005,16,2021-01-13,Handover
05000005,17,2021-02-17,Handover
05000005,18,2020-12-16,Handover
05000005,19,2020-12-30,Handover
05000005,20,2021-02-03,Handover
05000005,21,2021-01-27,Handover
05000005,22,2020-12-23,Handover
05000005,23,2020-09-02,Handover
05000005,24,2021-04-07,Handover
05000005,25,2021-01-13,Handover
05000005,26,2020-11-18,Handover
05000005,27,2020-11-18,Handover
05000005,28,2020-12-02,Handover
05000005,29,2021-01-06,Handover
05000005,30,2020-09-02,Handover
05000005,31,2020-08-05,Handover
05000005,32,2020-09-23,Handover
05000005,33,2020-08-05,Handover
05000005,34,2020-08-12,Handover
05000005,35,2020-08-26,Handover
05000005,36,2021-03-03,Handover
05000005,37,2020-08-05,Handover
05000005,38,2020-11-04,Handover
05000005,39,2020-08-05,Handover
05000005,40,2020-08-05,Handover
05000005,41,2020-11-11,Handover
05000005,42,2020-11-11,Handover
05000005,43,2020-09-09,Handover
05000005,44,2020-08-05,Handover
05000005,45,2021-03-03,Handover
05000005,46,2020-11-04,Handover
05000005,47,2020-08-12,Handover
05000005,48,2020-08-05,Handover
05000005,49,2021-04-07,Handover
05000005,50,2020-10-14,Handover
05000005,51,2021-01-13,Handover
05000005,52,2020-11-25,Handover
05000005,53,2021-01-27,Handover
05000005,54,2021-03-10,Handover
05000005,55,2020-12-30,Handover
05000005,56,2021-02-24,Handover
05000005,57,2020-10-21,Handover
05000005,58,2020-11-18,Handover
05000005,59,2020-11-25,Handover
05000005,60,2021-02-10,Handover
05000005,61,2021-05-05,Handover
05000005,62,2020-10-07,Handover
05000005,63,2020-12-16,Handover
05000005,64,2020-08-05,Handover
05000005,65,2020-11-18,Handover
05000005,66,2020-09-30,Handover
05000005,67,2021-01-13,Handover
05000005,68,2021-01-20,Handover
05000005,69,2021-02-03,Handover
05000005,70,2020-12-02,Handover
05000005,71,2020-10-07,Handover
05000005,72,2020-10-28,Handover
05000005,73,2021-01-20,Handover
05000005,74,2020-11-04,Handover
05000005,75,2020-08-05,Handover
05000005,76,2020-12-09,Handover
05000005,77,2020-08-05,Handover
05000005,78,2020-08-05,Handover
05000005,79,2021-01-27,Handover
05000005,80,2020-08-19,Handover
05000005,81,2020-09-30,Handover
05000005,82,2021-01-13,Handover
05000005,83,2021-01-20,Handover
05000005,84,2020-09-09,Handover
05000005,85,2020-10-21,Handover
05000005,86,2020-10-14,Handover
05000005,87,2020-10-28,Handover
05000005,88,2021-02-10,Handover
05000005,89,2020-12-09,Handover
05000005,90,2020-12-23,Handover
05000006,1,2021-03-24,Handover
05000006,2,2021-06-30,Handover
05000006,3,2021-06-02,Handover
05000006,4,2021-04-28,Handover
05000006,5,2021-03-24,Handover
05000006,6,2021-04-14,Handover
05000006,7,2021-03-24,Handover
05000006,8,2021-03-24,Handover
05000006,9,2021-05-12,Handover
05000006,10,2021-03-24,Handover
05000006,11,2021-03-24,Handover
05000006,12,2021-03-24,Handover
05000006,13,2021-03-24,Handover
05000006,14,2021-03-24,Handover
05000006,15,2021-03-24,Handover
05000006,16,2021-03-24,Handover
05000006,17,2021-04-21,Handover
05000006,18,2021-03-24,Handover
05000006,19,2021-03-24,Handover
05000006,20,2021-04-14,Handover
05000006,21,2021-03-24,Handover
05000006,22,2021-03-24,Handover
05000006,23,2021-07-14,Handover
05000006,24,2021-05-26,Handover
05000006,25,2021-05-12,Handover
05000006,26,2021-05-12,Handover
05000006,27,2021-03-24,Handover
05000006,28,2021-04-14,Handover
05000006,29,2021-03-24,Handover
05000006,30,2021-05-12,Handover
05000006,31,2021-03-24,Handover
05000006,32,2021-03-24,Handover
05000007,1,2020-12-30,Handover
05000007,2,2021-05-05,Handover
05000007,3,2020-12-30,Handover
05000007,4,2021-01-20,Handover
05000007,5,2020-12-30,Handover
05000007,6,2021-05-19,Handover
05000007,7,2021-06-23,Handover
05000007,8,2020-12-30,Handover
05000007,9,2020-12-30,Handover
05000007,10,2021-01-27,Handover
05000007,11,2021-03-24,Handover
05000007,12,2021-07-14,Handover
05000007,13,2020-12-30,Handover
05000007,14,2021-03-24,Handover
05000007,15,2020-12-30,Handover
05000007,16,2020-12-30,Handover
05000007,17,2021-07-28,Handover
05000007,18,2021-01-13,Handover
05000007,19,2020-12-30,Handover
05000007,20,2021-04-28,Handover
05000007,21,2021-03-03,Handover
05000007,22,2021-03-03,Handover
05000007,23,2021-04-28,Handover
05000007,24,2020-12-30,Handover
05000007,25,2021-08-04,Handover
05000007,26,2021-04-28,Handover
05000007,27,2021-05-19,Handover
05000007,28,2021-03-24,Handover
05000007,29,2020-12-30,Handover
05000007,30,2020-12-30,Handover
05000007,31,2021-05-12,Handover
05000007,32,2020-12-30,Handover
05000007,33,2021-04-07,Handover
05000007,34,2021-01-20,Handover
05000007,35,2020-12-30,Handover
05000007,36,2021-06-30,Handover
05000007,37,2021-04-28,Handover
05000007,38,2020-12-30,Handover
05000007,39,2021-03-17,Handover
05000007,40,2021-03-03,Handover
05000007,41,2020-12-30,Handover
05000007,42,2021-04-21,Handover
05000007,43,2021-02-03,Handover
05000007,44,2020-12-30,Handover
05000007,45,2021-05-19,Handover
05000007,46,2021-01-06,Handover
05000007,47,2021-08-11,Handover
05000007,48,2021-01-06,Handover
05000007,49,2020-12-30,Handover
05000007,50,2021-01-06,Handover
05000007,51,2021-04-21,Handover
05000007,52,2021-03-24,Handover
05000007,53,2021-04-28,Handover
05000007,54,2020-12-30,Handover
05000007,55,2020-12-30,Handover
05000007,56,2021-04-28,Handover
05000007,57,2021-02-17,Handover
05000007,58,2020-12-30,Handover
05000007,59,2020-12-30,Handover
05000007,60,2020-12-30,Handover
05000007,61,2021-04-28,Handover
05000007,62,2020-12-30,Handover
05000007,63,2021-01-13,Handover
05000007,64,2021-08-04,Handover
05000007,65,2021-06-16,Handover
05000007,66,2021-02-10,Handover
05000007,67,2021-04-21,Handover
05000007,68,2021-04-14,Handover
05000007,69,2020-12-30,Handover
05000007,70,2021-04-07,Handover
05000008,1,2020-11-11,Handover
05000008,2,2021-07-21,Handover
05000008,3,2020-11-11,Handover
05000008,4,2021-07-07,Handover
05000008,5,2021-03-03,Handover
05000008,6,2021-01-13,Handover
05000008,7,2021-06-30,Handover
05000008,8,2021-02-10,Handover
05000008,9,2021-06-02,Handover
05000008,10,2021-06-30,Handover
05000008,11,2021-01-20,Handover
05000008,12,2021-05-12,Handover
05000008,13,2021-03-10,Handover
05000008,14,2021-04-07,Handover
05000008,15,2021-04-14,Handover
05000008,16,2021-05-26,Handover
05000008,17,2021-05-19,Handover
05000008,18,2021-07-14,Handover
05000008,19,2021-02-10,Handover
05000008,20,2021-03-10,Handover
05000008,21,2020-11-18,Handover
05000008,22,2021-01-20,Handover
05000008,23,2021-06-09,Handover
05000008,24,2021-05-05,Handover
05000008,25,2021-03-03,Handover
05000008,26,2021-04-07,Handover
05000008,27,2021-03-10,Handover
05000008,28,2021-06-23,Handover
05000008,29,2020-12-30,Handover
05000008,30,2021-05-12,Handover
05000008,31,2020-12-09,Handover
05000008,32,2020-11-11,Handover
05000008,33,2020-11-18,Handover
05000008,34,2021-02-10,Handover
05000008,35,2021-02-03,Handover
05000008,36,2021-03-10,Handover
05000008,37,2021-03-10,Handover
05000008,38,2020-11-25,Handover
05000008,39,2020-11-11,Handover
05000008,40,2020-11-11,Handover
05000008,41,2020-12-02,Handover
05000008,42,2021-08-11,Handover
05000008,43,2021-04-21,Handover
05000008,44,2020-11-11,Handover
05000008,45,2021-08-11,Handover
05000008,46,2021-01-13,Handover
05000008,47,2021-04-14,Handover
05000008,48,2020-11-11,Handover
05000008,49,2021-07-14,Handover
05000008,50,2020-11-11,Handover
05000008,51,2020-11-11,Handover
05000008,52,2021-04-14,Handover
05000008,53,2021-03-31,Handover
05000008,54,2021-01-20,Handover
05000008,55,2021-03-03,Handover
05000008,56,2021-04-14,Handover
05000008,57,2021-03-31,Handover
05000008,58,2021-09-08,Handover
05000009,1,2021-02-10,Handover
05000009,2,2021-07-07,Handover
05000009,3,2021-08-18,Handover
05000009,4,2021-06-02,Handover
05000009,5,2021-06-16,Handover
05000009,6,2021-08-25,Handover
05000009,7,2021-02-10,Handover
05000009,8,2021-06-16,Handover
05000009,9,2021-06-02,Handover
05000009,10,2021-08-04,Handover
05000009,11,2021-05-19,Handover
05000009,12,2021-05-19,Handover
05000009,13,2021-02-24,Handover
05000009,14,2021-02-10,Handover
05000009,15,2021-06-16,Handover
05000009,16,2021-06-09,Handover
05000009,17,2021-06-23,Handover
05000009,18,2021-03-10,Handover
05000009,19,2021-05-12,Handover
05000009,20,2021-02-10,Handover
05000009,21,2021-04-21,Handover
05000009,22,2021-02-10,Handover
05000009,23,2021-04-21,Handover
05000009,24,2021-06-02,Handover
05000009,25,2021-03-10,Handover
05000009,26,2021-03-17,Handover
05000009,27,2021-04-21,Handover
05000009,28,2021-05-12,Handover
05000009,29,2021-02-10,Handover
05000009,30,2021-03-03,Handover
05000009,31,2021-02-10,Handover
05000009,32,2021-07-21,Handover
05000009,33,2021-02-10,Handover
05000009,34,2021-02-10,Handover
05000009,35,2021-08-25,Handover
05000009,36,2021-02-10,Handover
05000009,37,2021-02-10,Handover
05000009,38,2021-02-10,Handover
05000009,39,2021-02-10,Handover
05000009,40,2021-03-17,Handover
05000009,41,2021-02-10,Handover
05000009,42,2021-02-10,Handover
05000009,43,2021-02-10,Handover
05000009,44,2021-05-26,Handover
05000009,45,2021-09-08,Handover
05000009,46,2021-05-12,Handover
05000009,47,2021-04-14,Handover
05000009,48,2021-07-28,Handover
05000009,49,2021-09-15,Handover
05000009,50,2021-03-17,Handover
05000009,51,2021-02-10,Handover
05000009,52,2021-02-10,Handover
05000009,53,2021-04-28,Handover
05000009,54,2021-02-24,Handover
05000009,55,2021-06-02,Handover
05000009,56,2021-02-10,Handover
05000009,57,2021-02-10,Handover
05000009,58,2021-02-10,Handover
05000009,59,2021-05-05,Handover
05000009,60,2021-02-10,Handover
05000009,61,2021-02-24,Handover
05000009,62,2021-06-09,Handover
05000009,63,2021-06-23,Handover
05000009,64,2021-06-16,Handover
05000009,65,2021-02-10,Handover
05000009,66,2021-06-30,Handover
05000009,67,2021-03-24,Handover
05000009,68,2021-02-10,Handover
05000009,69,2021-06-23,Handover
05000009,70,2021-08-25,Handover
05000009,71,2021-02-10,Handover
05000009,72,2021-04-14,Handover
05000009,73,2021-03-31,Handover
05000009,74,2021-03-10,Handover
05000009,75,2021-06-09,Handover
05000009,76,2021-02-10,Handover
05000009,77,2021-02-10,Handover
05000009,78,2021-03-31,Handover
05000009,79,2021-05-26,Handover
05000009,80,2021-02-10,Handover
05000009,81,2021-02-24,Handover
05000009,82,2021-02-10,Handover
05000009,83,2021-06-02,Handover
05000009,84,2021-04-28,Handover
05000009,85,2021-05-05,Handover
05000009,86,2021-06-30,Handover
05000009,87,2021-02-10,Handover
05000009,88,2021-05-19,Handover
05000009,89,2021-05-19,Handover
05000009,90,2021-02-10,Handover
05000009,91,2021-06-16,Handover
05000009,92,2021-06-23,Handover
05000009,93,2021-06-16,Handover
05000009,94,2021-02-10,Handover
05000009,95,2021-05-12,Handover
05000009,96,2021-07-14,Handover
05000009,97,2021-02-10,Handover
05000009,98,2021-04-07,Handover
05000009,99,2021-04-07,Handover
05000009,100,2021-04-14,Handover
05000009,101,2021-02-24,Handover
05000009,102,2021-02-10,Handover
05000009,103,2021-10-06,Handover
05000009,104,2021-05-05,Handover
05000009,105,2021-08-18,Handover
05000009,106,2021-05-05,Handover
05000009,107,2021-03-31,Handover
05000009,108,2021-09-08,Handover
05000009,109,2021-08-11,Handover
05000009,110,2021-06-30,Handover
05000009,111,2021-02-10,Handover
05000009,112,2021-02-10,Handover
05000009,113,2021-02-10,Handover
05000009,114,2021-02-17,Handover
05000009,115,2021-06-23,Handover
05000009,116,2021-04-14,Handover
05000009,117,2021-02-10,Handover
05000009,118,2021-02-10,Handover
05000009,119,2021-03-17,Handover
05000009,120,2021-06-16,Handover
05000009,121,2021-03-31,Handover
05000009,122,2021-08-25,Handover
05000009,123,2021-07-14,Handover
05000009,124,2021-02-10,Handover
05000009,125,2021-08-25,Handover
05000009,126,2021-02-10,Handover
05000009,127,2021-07-28,Handover
05000010,1,2021-07-14,Handover
05000010,2,2021-07-14,Handover
05000010,3,2021-07-14,Handover
05000010,4,2021-07-14,Handover
05000010,5,2021-09-01,Handover
05000010,6,2021-07-14,Handover
05000010,7,2021-07-14,Handover
05000010,8,2021-07-14,Handover
05000010,9,2021-07-14,Handover
05000010,10,2021-07-14,Handover
05000010,11,2021-09-15,Handover
05000010,12,2021-07-14,Handover
05000010,13,2021-07-14,Handover
05000010,14,2021-07-14,Handover
05000010,15,2021-10-27,Handover
05000010,16,2021-07-14,Handover
05000010,17,2021-07-14,Handover
05000010,18,2021-07-14,Handover
05000010,19,2021-07-14,Handover
05000010,20,2021-07-14,Handover
05000010,21,2021-07-14,Handover
05000010,22,2021-07-14,Handover
05000010,23,2021-07-21,Handover
05000010,24,2021-07-14,Handover
05000010,25,2021-07-14,Handover
05000010,26,2021-07-14,Handover
05000010,27,2021-07-14,Handover
05000010,28,2021-07-14,Handover
05000010,29,2021-07-14,Handover
05000010,30,2021-07-14,Handover
05000010,31,2021-07-14,Handover
05000010,32,2021-07-14,Handover
05000010,33,2021-07-14,Handover
05000011,1,2021-05-12,Handover
05000011,2,2021-07-14,Handover
05000011,3,2021-07-07,Handover
05000011,4,2021-05-12,Handover
05000011,5,2021-05-12,Handover
05000011,6,2021-07-21,Handover
05000011,7,2021-10-13,Handover
05000011,8,2021-05-12,Handover
05000011,9,2021-05-12,Handover
05000011,10,2021-05-12,Handover
05000011,11,2021-06-23,Handover
05000011,12,2021-05-12,Handover
05000011,13,2021-05-12,Handover
05000011,14,2021-05-26,Handover
05000011,15,2021-05-12,Handover
05000011,16,2021-05-12,Handover
05000011,17,2021-05-12,Handover
05000011,18,2021-05-26,Handover
05000011,19,2021-05-12,Handover
05000011,20,2021-08-25,Handover
05000011,21,2021-05-12,Handover
05000011,22,2021-06-30,Handover
05000011,23,2021-05-12,Handover
05000011,24,2021-05-12,Handover
05000011,25,2021-05-12,Handover
05000011,26,2021-05-12,Handover
05000011,27,2021-05-12,Handover
05000011,28,2021-05-12,Handover
05000011,29,2021-05-19,Handover
05000011,30,2021-05-12,Handover
05000011,31,2021-05-12,Handover
05000011,32,2021-05-12,Handover
05000011,33,2021-05-12,Handover
05000011,34,2021-05-12,Handover
05000011,35,2021-05-12,Handover
05000011,36,2021-08-18,Handover
05000011,37,2021-05-12,Handover
05000011,38,2021-05-12,Handover
05000011,39,2021-05-12,Handover
05000011,40,2021-06-09,Handover
05000011,41,2021-06-02,Handover
05000011,42,2021-07-07,Handover
05000011,43,2021-06-02,Handover
05000011,44,2021-05-12,Handover
05000011,45,2021-05-12,Handover
05000011,46,2021-05-12,Handover
05000011,47,2021-09-15,Handover
05000011,48,2021-05-12,Handover
05000011,49,2021-05-12,Handover
05000011,50,2021-05-12,Handover
05000011,51,2021-09-15,Handover
05000011,52,2021-05-12,Handover
05000011,53,2021-05-12,Handover
05000011,54,2021-05-12,Handover
05000011,55,2021-05-12,Handover
05000011,56,2021-08-11,Handover
05000011,57,2021-05-12,Handover
05000011,58,2021-09-22,Handover
05000012,1,2021-07-28,Handover
05000012,2,2021-08-04,Handover
05000012,3,2021-07-28,Handover
05000012,4,2021-08-04,Handover
05000012,5,2021-12-29,Handover
05000012,6,2021-11-24,Handover
05000012,7,2021-07-28,Handover
05000012,8,2021-10-20,Handover
05000012,9,2021-07-28,Handover
05000012,10,2021-08-04,Handover
05000012,11,2021-07-28,Handover
05000012,12,2021-07-28,Handover
05000012,13,2021-07-28,Handover
05000012,14,2021-08-04,Handover
05000012,15,2021-07-28,Handover
05000012,16,2021-08-11,Handover
05000012,17,2021-10-06,Handover
05000012,18,2021-08-25,Handover
05000012,19,2021-09-08,Handover
05000012,20,2021-07-28,Handover
05000012,21,2021-07-28,Handover
05000012,22,2021-07-28,Handover
05000012,23,2021-07-28,Handover
05000012,24,2021-07-28,Handover
05000012,25,2021-07-28,Handover
05000012,26,2021-07-28,Handover
05000012,27,2021-09-15,Handover
05000012,28,2021-09-08,Handover
05000012,29,2021-07-28,Handover
05000012,30,2021-07-28,Handover
05000012,31,2021-07-28,Handover
05000012,32,2021-08-18,Handover
05000012,33,2021-07-28,Handover
05000012,34,2021-10-06,Handover
05000012,35,2021-07-28,Handover
05000012,36,2021-08-25,Handover
05000012,37,2021-07-28,Handover
05000012,38,2021-07-28,Handover
05000012,39,2021-07-28,Handover
05000012,40,2021-09-08,Handover
05000012,41,2021-08-18,Handover
05000012,42,2021-08-25,Handover
05000012,43,2021-07-28,Handover
05000012,44,2021-07-28,Handover
05000013,1,2021-10-27,Handover
