PLOT_ID,SNIN_REFERENCE,PLOT_NO,START_DATE,REGISTERED_DATE,WARRANTY_FINAL_DATE,BC_FINAL_DATE,LEGAL_COMPLETION_DATE,NUMBER_OF_STOREYS,FIRST_PHO_DATE,FAILED_FIRST_PHO
2000000172,05000003,17,2019-11-25,2019-10-26,,2020-10-19,,2,2020-10-22,N
2000000173,05000003,18,2020-05-18,2020-04-18,,2021-04-05,,2,2021-04-08,N
2000000174,05000003,19,2020-01-06,2019-12-07,,2020-11-23,,2,2020-11-26,N
2000000175,05000003,20,2019-11-04,2019-10-05,,2020-10-19,,2,2020-10-22,N
2000000176,05000003,21,2020-02-10,2020-01-11,,2020-10-19,,2,2020-10-22,N
2000000177,05000003,22,2020-01-13,2019-12-14,,2020-10-19,,2,2020-10-22,N
2000000178,05000003,23,2019-11-25,2019-10-26,2020-10-19,,,2,2020-10-22,Y
2000000179,05000003,24,2020-04-27,2020-03-28,,2021-01-18,,2,2021-01-21,N
2000000180,05000003,25,2020-02-03,2020-01-04,,2020-10-19,,2,2020-10-22,N
2000000181,05000003,26,2019-10-07,2019-09-07,,,2020-10-19,2,2020-10-22,N
2000000182,05000003,27,2019-12-30,2019-11-30,,,2020-11-16,2,2020-11-19,N
2000000183,05000003,28,2019-09-16,2019-08-17,,2020-10-19,,2,2020-10-22,N
2000000184,05000003,29,2020-06-15,2020-05-16,,2021-04-26,,2,2021-04-29,N
2000000185,05000003,30,2020-05-04,2020-04-04,2020-12-21,,,2,2020-12-24,N
2000000186,05000003,31,2019-12-09,2019-11-09,,2020-10-19,,2,2020-10-22,N
2000000187,05000003,32,2020-01-20,2019-12-21,,,2020-10-19,2,2020-10-22,N
2000000188,05000003,33,2020-01-13,2019-12-14,,,,2,2020-10-22,N
2000000189,05000003,34,2019-11-04,2019-10-05,2020-10-19,,,2,2020-10-22,N
2000000190,05000003,35,2020-04-13,2020-03-14,,2020-12-14,,2,2020-12-17,N
2000000191,05000003,36,2019-12-30,2019-11-30,,2020-10-19,,2,2020-10-22,N
2000000192,05000003,37,2020-01-27,2019-12-28,2020-12-07,,,2,2020-12-10,N
2000000193,05000003,38,2020-03-02,2020-02-01,,2021-01-25,,2,2021-01-28,N
2000000194,05000003,39,2019-11-04,2019-10-05,,2020-10-19,,2,2020-10-22,Y
2000000195,05000003,40,2019-10-14,2019-09-14,2020-10-19,,,2,2020-10-22,N
2000000196,05000003,41,2020-01-20,2019-12-21,,2020-10-19,,2,2020-10-22,N
2000000197,05000003,42,2020-03-30,2020-02-29,,2021-03-01,,2,2021-03-04,N
2000000198,05000003,43,2019-11-11,2019-10-12,,2020-10-19,,2,2020-10-22,N
2000000199,05000003,44,2020-05-18,2020-04-18,,2021-03-08,,2,2021-03-11,N
2000000200,05000003,45,2020-06-01,2020-05-02,,2021-04-12,,2,2021-04-15,N
2000000201,05000003,46,2019-10-21,2019-09-21,,2020-10-19,,2,2020-10-22,N
2000000202,05000003,47,2020-01-27,2019-12-28,,2020-10-19,,2,2020-10-22,N
2000000203,05000003,48,2020-05-18,2020-04-18,,2020-12-14,,2,2020-12-17,Y
2000000204,05000003,49,2020-02-10,2020-01-11,,2020-10-19,,2,2020-10-22,N
2000000205,05000003,50,2019-10-07,2019-09-07,,2020-10-19,,2,2020-10-22,N
2000000206,05000003,51,2019-09-30,2019-08-31,,2020-10-19,,2,2020-10-22,N
2000000207,05000003,52,2019-11-04,2019-10-05,,,2020-10-19,2,2020-10-22,N
2000000208,05000004,1,2019-09-16,2019-08-17,,2020-09-14,,2,2020-09-17,N
2000000209,05000004,2,2020-01-13,2019-12-14,,2020-09-14,,2,2020-09-17,N
2000000210,05000004,3,2020-06-22,2020-05-23,2021-04-12,,,2,2021-04-15,N
2000000211,05000004,4,2019-10-07,2019-09-07,2020-09-14,,,2,2020-09-17,N
2000000212,05000004,5,2020-02-10,2020-01-11,,2021-01-18,,2,2021-01-21,N
2000000213,05000004,6,2019-09-23,2019-08-24,,2020-09-14,,2,2020-09-17,N
2000000214,05000004,7,2020-01-13,2019-12-14,,2020-10-05,,2,2020-10-08,N
2000000215,05000004,8,2020-06-22,2020-05-23,,2021-06-07,,2,2021-06-10,Y
2000000216,05000004,9,2020-03-16,2020-02-15,,,2020-11-02,2,2020-11-05,N
2000000217,05000004,10,2019-12-16,2019-11-16,,2020-10-05,,2,2020-10-08,N
2000000218,05000004,11,2019-11-11,2019-10-12,,2020-09-14,,2,2020-09-17,N
2000000219,05000004,12,2019-11-04,2019-10-05,,2020-09-14,,2,2020-09-17,N
2000000220,05000004,13,2019-10-14,2019-09-14,,2020-09-14,,2,2020-09-17,N
2000000221,05000004,14,2020-06-22,2020-05-23,,2021-02-22,,2,2021-02-25,N
2000000222,05000004,15,2019-09-30,2019-08-31,,2020-09-14,,2,2020-09-17,N
2000000223,05000004,16,2020-03-09,2020-02-08,,2020-10-12,,2,2020-10-15,N
2000000224,05000004,17,2020-03-16,2020-02-15,,2021-02-22,,2,2021-02-25,N
2000000225,05000004,18,2020-02-17,2020-01-18,,2021-01-18,,2,2021-01-21,N
2000000226,05000004,19,2020-05-18,2020-04-18,,,,2,2021-04-22,N
2000000227,05000004,20,2019-11-25,2019-10-26,,2020-09-14,,2,2020-09-17,N
2000000228,05000004,21,2020-03-09,2020-02-08,2021-02-01,,,2,2021-02-04,Y
2000000229,05000004,22,2019-10-28,2019-09-28,2020-09-14,,,2,2020-09-17,N
2000000230,05000004,23,2020-02-10,2020-01-11,,2020-11-23,,2,2020-11-26,N
2000000231,05000004,24,2020-01-20,2019-12-21,,2020-09-14,,2,2020-09-17,N
2000000232,05000004,25,2020-03-30,2020-02-29,,2020-11-30,,2,2020-12-03,N
2000000233,05000004,26,2020-06-01,2020-05-02,,2021-04-26,,2,2021-04-29,N
2000000234,05000004,27,2019-11-11,2019-10-12,2020-09-14,,,2,2020-09-17,Y
2000000235,05000004,28,2020-05-04,2020-04-04,,2021-04-05,,2,2021-04-08,N
2000000236,05000004,29,2020-01-06,2019-12-07,,,2020-11-30,2,2020-12-03,N
2000000237,05000004,30,2020-06-08,2020-05-09,,2021-04-12,,2,2021-04-15,N
2000000238,05000004,31,2020-01-13,2019-12-14,2020-12-28,,,2,2020-12-31,N
2000000239,05000004,32,2020-01-20,2019-12-21,2020-09-28,,,2,2020-10-01,N
2000000240,05000004,33,2019-10-07,2019-09-07,,2020-09-14,,2,2020-09-17,N
2000000241,05000004,34,2019-10-14,2019-09-14,,2020-09-14,,2,2020-09-17,Y
2000000242,05000004,35,2020-03-30,2020-02-29,,2020-12-07,,2,2020-12-10,N
2000000243,05000004,36,2020-05-11,2020-04-11,2021-03-29,,,2,2021-04-01,N
2000000244,05000004,37,2020-06-01,2020-05-02,,2021-02-15,,2,2021-02-18,N
2000000245,05000004,38,2020-05-25,2020-04-25,,2021-03-29,,2,2021-04-01,Y
2000000246,05000004,39,2020-03-16,2020-02-15,,2020-12-21,,2,2020-12-24,N
2000000247,05000004,40,2020-02-24,2020-01-25,2020-11-30,,,2,2020-12-03,N
2000000248,05000004,41,2019-12-30,2019-11-30,,2020-11-30,,2,2020-12-03,N
2000000249,05000004,42,2020-05-11,2020-04-11,,2020-12-07,,2,2020-12-10,N
2000000250,05000004,43,2020-04-06,2020-03-07,,,,2,2020-11-19,N
2000000251,05000004,44,2020-02-03,2020-01-04,,2020-09-14,,2,2020-09-17,N
2000000252,05000004,45,2020-06-08,2020-05-09,,2021-01-04,,2,2021-01-07,Y
2000000253,05000004,46,2020-03-16,2020-02-15,,,2020-12-28,2,2020-12-31,N
2000000254,05000004,47,2019-11-04,2019-10-05,2020-09-14,,,2,2020-09-17,N
2000000255,05000004,48,2019-09-30,2019-08-31,,2020-09-14,,2,2020-09-17,N
2000000256,05000004,49,2019-10-28,2019-09-28,,2020-09-14,,2,2020-09-17,Y
2000000257,05000004,50,2020-03-09,2020-02-08,2021-01-11,,,2,2021-01-14,Y
2000000258,05000004,51,2020-02-03,2020-01-04,,,,2,2020-12-17,Y
2000000259,05000004,52,2020-06-01,2020-05-02,2021-03-29,,,2,2021-04-01,N
2000000260,05000004,53,2020-03-23,2020-02-22,,2021-02-15,,2,2021-02-18,N
2000000261,05000004,54,2020-02-24,2020-01-25,,2020-11-23,,2,2020-11-26,N
2000000262,05000004,55,2019-11-11,2019-10-12,,2020-09-14,,2,2020-09-17,N
2000000263,05000004,56,2020-02-24,2020-01-25,,2020-11-23,,2,2020-11-26,N
2000000264,05000004,57,2019-09-30,2019-08-31,,2020-09-14,,2,2020-09-17,N
2000000265,05000004,58,2019-11-18,2019-10-19,2020-09-14,,,2,2020-09-17,N
2000000266,05000004,59,2019-09-30,2019-08-31,,2020-09-14,,2,2020-09-17,Y
2000000267,05000004,60,2020-05-25,2020-04-25,,2021-03-29,,2,2021-04-01,N
2000000268,05000004,61,2020-05-11,2020-04-11,,2021-03-08,,2,2021-03-11,N
2000000269,05000004,62,2020-02-24,2020-01-25,,2021-02-08,,2,2021-02-11,N
2000000270,05000004,63,2020-01-13,2019-12-14,,2020-09-14,,2,2020-09-17,N
2000000271,05000004,64,2020-02-17,2020-01-18,,2020-12-14,,2,2020-12-17,N
2000000272,05000004,65,2019-10-28,2019-09-28,2020-10-12,,,2,2020-10-15,N
2000000273,05000004,66,2020-02-03,2020-01-04,,,2020-09-14,2,2020-09-17,N
2000000274,05000004,67,2020-01-13,2019-12-14,,2020-12-28,,2,2020-12-31,N
2000000275,05000004,68,2020-05-18,2020-04-18,,2021-03-01,,2,2021-03-04,N
2000000276,05000004,69,2020-06-22,2020-05-23,,2021-03-22,,2,2021-03-25,N
2000000277,05000004,70,2019-10-07,2019-09-07,,2020-09-14,,2,2020-09-17,N
2000000278,05000004,71,2020-04-13,2020-03-14,,2020-11-09,,2,2020-11-12,Y
2000000279,05000004,72,2020-01-20,2019-12-21,2020-12-07,,,2,2020-12-10,Y
2000000280,05000004,73,2020-01-27,2019-12-28,,2020-11-16,,2,2020-11-19,N
2000000281,05000004,74,2019-11-18,2019-10-19,,,,2,2020-09-17,N
2000000282,05000004,75,2020-06-01,2020-05-02,,2020-12-28,,2,2020-12-31,N
2000000283,05000004,76,2020-02-24,2020-01-25,,2020-09-21,,2,2020-09-24,N
2000000284,05000004,77,2019-11-11,2019-10-12,,2020-10-12,,2,2020-10-15,N
2000000285,05000004,78,2019-11-04,2019-10-05,,2020-09-14,,2,2020-09-17,N
2000000286,05000004,79,2020-04-20,2020-03-21,2021-02-08,,,2,2021-02-11,Y
2000000287,05000004,80,2020-06-08,2020-05-09,,,2021-04-05,2,2021-04-08,N
2000000288,05000004,81,2019-12-23,2019-11-23,,2020-09-14,,2,2020-09-17,N
2000000289,05000004,82,2019-12-02,2019-11-02,,2020-09-14,,2,2020-09-17,N
2000000290,05000004,83,2019-11-25,2019-10-26,,2020-09-14,,2,2020-09-17,N
2000000291,05000004,84,2019-11-18,2019-10-19,,2020-09-14,,2,2020-09-17,N
2000000292,05000004,85,2019-11-25,2019-10-26,,2020-09-14,,2,2020-09-17,N
2000000293,05000004,86,2020-04-13,2020-03-14,2020-11-30,,,2,2020-12-03,Y
2000000294,05000004,87,2019-12-02,2019-11-02,,2020-09-14,,2,2020-09-17,N
2000000295,05000004,88,2019-10-21,2019-09-21,,2020-09-14,,2,2020-09-17,N
2000000296,05000004,89,2020-03-30,2020-02-29,,,,2,2020-11-26,N
2000000297,05000004,90,2020-06-22,2020-05-23,,2021-02-22,,2,2021-02-25,N
2000000298,05000004,91,2019-10-07,2019-09-07,,,2020-09-14,2,2020-09-17,N
2000000299,05000004,92,2020-06-08,2020-05-09,,2021-04-19,,2,2021-04-22,N
2000000300,05000004,93,2020-02-03,2020-01-04,,2020-11-16,,2,2020-11-19,N
2000000301,05000004,94,2020-02-24,2020-01-25,,2020-10-26,,2,2020-10-29,N
2000000302,05000004,95,2019-11-11,2019-10-12,,2020-09-14,,2,2020-09-17,N
2000000303,05000004,96,2020-06-08,2020-05-09,,2021-01-18,,2,2021-01-21,N
2000000304,05000004,97,2020-04-27,2020-03-28,,2021-01-04,,2,2021-01-07,N
2000000305,05000004,98,2020-03-23,2020-02-22,,2021-02-08,,2,2021-02-11,Y
